feature,Random Forest rank,Random Forest importance,Gradient Boosting rank,Gradient Boosting importance,Logistic Regression rank,Logistic Regression importance,SHAP rank,SHAP importance,methods_count
comment_per_trader,10.0,0.021189443767423138,7.0,0.015207602726335933,25.5,0.0,19.0,0.09465924952975689,4
event_country_Canada,29.0,0.0035839495356046673,9.0,0.009803428388033188,25.5,0.0,15.0,0.12456735100238082,4
event_country_Other Countries,25.0,0.009586903971578999,4.0,0.035105867111472316,25.5,0.0,7.0,0.228739748101254,4
event_electionType_Presidential,11.0,0.02091071295700126,14.0,0.0075406380624907544,7.0,0.44614175557231356,5.0,0.46046809979861353,4
final_week_momentum,7.0,0.04213573021664791,5.0,0.018165812576591115,6.0,0.4783102008630793,6.0,0.3577362880004268,4
late_stage_participation,5.0,0.06478094413778768,13.0,0.00794688072778352,25.5,0.0,17.0,0.09551116196777316,4
market_duration_days,18.0,0.014323145104211654,15.0,0.006411305779528963,10.0,0.17493811235921503,13.0,0.13211361023378973,4
new_trader_influx,2.0,0.09969054192078577,24.0,0.0010226902812542583,2.0,0.8689036951112655,9.0,0.1908042783683163,4
price_fluctuations,4.0,0.06557758407051986,8.0,0.013973122511737435,9.0,0.2908339756468175,4.0,0.5633773543576605,4
price_range,1.0,0.23329460431500934,1.0,0.6713321063874079,1.0,0.8895314694062314,1.0,2.652641546717458,4
price_volatility,6.0,0.06338809764473076,2.0,0.07934405906560651,4.0,0.5632428709889435,2.0,0.700455096519129,4
trader_concentration,16.0,0.01568888986798865,10.0,0.00864486142142538,5.0,0.5232546247915513,10.0,0.17892172913642299,4
trading_continuity,3.0,0.07842909329176,3.0,0.06592280398926006,25.5,0.0,3.0,0.6085431306358032,4
trading_frequency,8.0,0.04110869145076578,21.0,0.0020566415106265273,8.0,0.31870788140575074,18.0,0.09539257866312906,4
two_way_traders_ratio,13.0,0.018329339862780753,12.0,0.00855355278900189,25.5,0.0,8.0,0.19081316776064056,4
unique_traders_count,14.0,0.018129646792535748,6.0,0.01621723839692763,3.0,0.8439592245125627,11.0,0.16437435840691947,4
volume_acceleration,12.0,0.018929759979656166,25.0,0.0007584657274043475,12.0,0.08069876211889343,14.0,0.13080466441176544,4
