,log_loss
181,0.083381609
115,0.0010005
90,0.0010005
278,0.012072581
413,0.0010005
254,0.0010005
291,0.235722334
76,0.002002003
328,0.004008021
235,0.061875444
4,0.0010005
157,0.162518929
318,0.0010005
212,0.012072581
271,0.223143551
355,0.127833375
462,0.0010005
424,0.210721031
370,0.031490636
201,0.002002003
407,0.026343975
326,0.0010005
396,0.002002003
461,0.0010005
476,0.0010005
161,0.15082289
344,0.004008021
222,0.012072581
319,0.009040792
25,0.0010005
47,0.0010005
149,0.0010005
146,0.0010005
294,0.0010005
197,0.002002003
415,0.030459207
350,0.032302759
0,0.588787169
376,0.162518929
442,0.008523422
352,0.030459207
402,0.02122368
163,0.301105093
81,0.004008021
325,0.210721034
185,0.003004509
295,0.0010005
498,0.0010005
186,0.197925878
499,0.016129382
104,0.0010005
147,0.003004509
8,0.0010005
420,0.0010005
27,0.004008021
223,0.713349888
170,0.0010005
117,0.0010005
386,0.010050336
241,0.755022584
457,0.0010005
470,0.15082289
83,0.0010005
406,0.023268627
329,0.030459207
23,0.0010005
119,0.0010005
289,0.036663984
19,0.0010005
471,0.003004509
84,0.007024615
439,0.002002003
265,0.002002003
397,0.0010005
385,0.15082289
447,0.179126666
108,0.064005378
266,0.061875408
336,0.094310679
154,0.003004509
143,0.002002003
316,0.0010005
234,0.0010005
82,0.0010005
359,0.01308524
125,0.0010005
260,0.0010005
244,0.0010005
54,0.967584026
405,0.139262067
172,0.0010005
116,0.0010005
215,0.061875404
472,0.002314104
188,0.002002003
421,0.013083953
72,0.0010005
193,0.0010005
378,0.0010005
311,0.0629398
41,0.0010005
273,0.287682072
169,1.237874356
85,0.415515435
79,0.0010005
118,0.015113638
211,0.002002003
194,0.0010005
88,0.0010005
238,0.274436846
114,0.072570693
375,0.003004509
423,0.0010005
331,0.003004509
269,0.0010005
263,0.210721031
333,0.0010005
166,0.0010005
164,0.0010005
6,1.339410775
18,0.0010005
92,0.274436846
314,0.235722334
496,0.820980552
245,0.102032726
434,0.0010005
239,0.002002003
61,0.139262067
348,0.01308524
313,0.009040745
80,0.478035801
111,0.0010005
483,0.013086958
494,2.40793752
262,0.034591445
374,0.0010005
481,0.301105162
380,0.0010005
322,0.0010005
391,0.0010005
304,0.0010005
128,0.0010005
339,0.0010005
208,0.002002003
361,0.017146185
216,0.094310679
131,0.0010005
432,0.0010005
368,0.916290732
130,0.0010005
139,0.0010005
341,0.0010005
335,0.0010005
249,0.223143551
179,0.0010005
142,1.514127801
243,0.512493681
349,0.016129382
436,0.328504067
463,0.008032172
98,0.274436846
24,0.0010005
43,1.427116356
74,0.006018072
66,0.235722334
277,0.400477607
492,0.494296323
71,0.223143551
443,0.0010005
478,0.054456186
409,0.012072585
315,0.005012542
106,0.0010005
155,0.0010005
158,0.002002003
302,0.004008021
224,0.001130786
176,0.03978087
473,0.060812139
377,0.008032172
21,0.0010005
482,0.007024615
204,0.0010005
221,0.0010005
26,0.0010005
464,0.015113638
96,0.15082289
357,0.105360516
141,1.272965651
95,0.0010005
395,0.0010005
398,0.0010005
466,0.018163971
351,0.0010005
332,0.0010005
152,0.083381609
288,0.0010005
225,0.004008021
400,0.579818495
450,0.0010005
40,0.0010005
156,0.0010005
308,0.0010005
73,0.002002003
140,0.019182819
297,0.0010005
28,0.0010005
134,0.0010005
126,0.198450939
137,0.0010005
100,0.430782856
455,0.0010005
416,0.0010005
165,0.0010005
99,0.510825624
343,0.015113705
383,0.054456186
371,0.003004509
248,0.235722334
87,0.430782913
292,0.0010005
285,0.105360516
7,0.0010005
206,0.020202707
11,0.0010005
3,1.343234868
389,0.011068737
190,0.0010005
60,0.0010005
353,0.011063755
160,0.0010005
493,0.031490667
210,0.400477568
435,0.025317808
360,0.311821797
321,0.798507696
233,0.0010005
49,0.562118918
209,0.0010005
12,0.0010005
20,0.0010005
180,0.967616029
255,0.005012542
253,0.004008021
33,0.002002003
303,0.0010005
38,0.034591445
323,0.210731531
192,0.0010005
426,0.0010005
45,0.544727175
237,0.003004509
207,0.094310679
340,0.0010005
124,0.0010005
39,0.028399475
77,0.0010005
198,0.105360516
283,0.385662481
129,0.210721024
195,0.0010005
196,0.0010005
425,0.328504067
2,0.0010005
217,0.094310712
298,0.0010005
240,0.105360516
342,0.096917886
151,0.0010005
484,0.0010005
452,0.005012542
307,0.0010005
441,0.004008021
403,0.014098924
337,0.072570693
133,0.0010005
488,1.347073648
168,0.15082289
438,0.0010005
293,0.0010005
35,0.0010005
175,0.223143551
162,0.0010005
388,0.0010005
65,0.94160854
9,0.0010005
448,0.009040745
32,0.0010005
127,0.0010005
122,0.0010005
62,0.0010005
135,0.031490678
491,0.043532445
485,0.002002003
250,0.0010005
465,0.0010005
264,0.116533816
189,0.004008021
431,0.0010005
354,0.162518929
301,0.0010005
177,0.035627191
429,0.002002003
17,0.0010005
440,0.003004509
132,0.0010005
433,0.021223636
120,0.0010005
75,0.430782916
310,0.0010005
109,0.0010005
89,0.0010005
306,0.0010005
64,0.0010005
444,0.024132899
445,0.011060947
261,0.235722242
55,0.916290732
369,0.0010005
69,0.0010005
78,0.006018106
48,0.0010005
13,0.0010005
274,0.0010005
372,0.072570693
93,0.060812138
31,0.0010005
205,0.0010005
381,0.021223636
393,0.049190244
281,0.008114422
159,0.0010005
110,0.0010005
379,0.009040817
103,0.0010005
469,3.352407217
468,1.347073648
123,0.0010005
401,0.016129382
247,0.210721031
121,0.061875404
